language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,出生,chūshēng ,chūshēng,chúshēng,chūshěng,chùshēng,to be born,我今天學到「出生」這個詞。,wǒ jīntiān xuédào chūshēng zhège cí.,"Today I learned the word ""to be born.""",B1,life and time,verb,Core Content,
Taiwan Mandarin,不同,bùtóng ,bùtóng,būtóng,bùtòng,bǔtóng,different,我今天學到「不同」這個詞。,wǒ jīntiān xuédào bùtóng zhège cí.,"Today I learned the word ""different.""",B1,description,adjective,Core Content,
Taiwan Mandarin,住址,zhùzhĭ,zhùzhǐ,zhūzhǐ,zhùzhī,zhǔzhǐ,address,我今天學到「住址」這個詞。,wǒ jīntiān xuédào zhùzhǐ zhège cí.,"Today I learned the word ""address.""",B1,home,noun,Core Content,
Taiwan Mandarin,母語,mǔyǔ,mǔyǔ,mùyǔ,mǔyū,múyǔ,mother tongue; native language,我今天學到「母語」這個詞。,wǒ jīntiān xuédào mǔyǔ zhège cí.,"Today I learned the word ""mother tongue; native language.""",B1,language,noun,Core Content,
Taiwan Mandarin,表,biăo ,biǎo,biào,biāo,biáo,watch; clock; form,我今天學到「表」這個詞。,wǒ jīntiān xuédào biǎo zhège cí.,"Today I learned the word ""watch; clock; form.""",B1,time and objects,noun,Core Content,
Taiwan Mandarin,鐘,zhōng,zhōng,zhóng,zhǒng,zhòng,clock; bell,我今天學到「鐘」這個詞。,wǒ jīntiān xuédào zhōng zhège cí.,"Today I learned the word ""clock; bell.""",B1,time and objects,noun,Core Content,
Taiwan Mandarin,鐘/時鐘,zhōng/shízhōng,zhōng/shízhōng,zhóng/shízhōng,zhōng/shìzhōng,zhōng/shízhòng,clock,我今天學到「鐘」這個詞。,wǒ jīntiān xuédào zhōng/shízhōng zhège cí.,"Today I learned the word ""clock.""",B1,time and objects,noun,Core Content,
Taiwan Mandarin,傳真,chuánzhēn ,chuánzhēn,chuǎnzhēn,chuánzhěn,chuānzhēn,fax,我今天學到「傳真」這個詞。,wǒ jīntiān xuédào chuánzhēn zhège cí.,"Today I learned the word ""fax.""",B1,communication,noun,Core Content,
Taiwan Mandarin,白天(˙ㄊㄧㄢ),báitian ,báitian,bǎitian,bàitian,bāitian,daytime,我今天學到「白天」這個詞。,wǒ jīntiān xuédào báitian zhège cí.,"Today I learned the word ""daytime.""",B1,time,noun,Core Content,
Taiwan Mandarin,半夜,bànyè ,bànyè,bānyè,bànyé,bǎnyè,middle of the night,我今天學到「半夜」這個詞。,wǒ jīntiān xuédào bànyè zhège cí.,"Today I learned the word ""middle of the night.""",B1,time,noun,Core Content,
Taiwan Mandarin,夜晚,yèwăn ,yèwǎn,yēwǎn,yèwān,yěwǎn,night; evening,我今天學到「夜晚」這個詞。,wǒ jīntiān xuédào yèwǎn zhège cí.,"Today I learned the word ""night; evening.""",B1,time,noun,Core Content,
Taiwan Mandarin,日子,rìzi,rìzi,rīzi,rízi,rǐzi,day; date; days,我今天學到「日子」這個詞。,wǒ jīntiān xuédào rìzi zhège cí.,"Today I learned the word ""day; date; days.""",B1,time,noun,Core Content,
Taiwan Mandarin,夜,yè ,yè,yē,yé,yě,night,我今天學到「夜」這個詞。,wǒ jīntiān xuédào yè zhège cí.,"Today I learned the word ""night.""",B1,time,noun,Core Content,
Taiwan Mandarin,春季,chūnjì ,chūnjì,chúnjì,chūnjí,chùnjì,spring season,我今天學到「春季」這個詞。,wǒ jīntiān xuédào chūnjì zhège cí.,"Today I learned the word ""spring season.""",B1,time,noun,Core Content,
Taiwan Mandarin,時,shí ,shí,shǐ,shì,shī,time; hour,我今天學到「時」這個詞。,wǒ jīntiān xuédào shí zhège cí.,"Today I learned the word ""time; hour.""",B1,time,noun,Core Content,
Taiwan Mandarin,不久,bùjiŭ,bùjiǔ,būjiǔ,bùjiū,bǔjiǔ,soon; not long after,我今天學到「不久」這個詞。,wǒ jīntiān xuédào bùjiǔ zhège cí.,"Today I learned the word ""soon; not long after.""",B1,time,adverb,Core Content,
Taiwan Mandarin,剛才,gāngcái ,gāngcái,gángcái,gāngcài,gàngcái,just now,我今天學到「剛才」這個詞。,wǒ jīntiān xuédào gāngcái zhège cí.,"Today I learned the word ""just now.""",B1,time,adverb,Core Content,
Taiwan Mandarin,早點,zăodiăn ,zǎodiǎn,zàodiǎn,zǎodiān,záodiǎn,earlier; a little earlier,我今天學到「早點」這個詞。,wǒ jīntiān xuédào zǎodiǎn zhège cí.,"Today I learned the word ""earlier; a little earlier.""",B1,time,adverb,Core Content,
Taiwan Mandarin,正好,zhènghăo ,zhènghǎo,zhēnghǎo,zhènghāo,zhěnghǎo,just right; exactly,我今天學到「正好」這個詞。,wǒ jīntiān xuédào zhènghǎo zhège cí.,"Today I learned the word ""just right; exactly.""",B1,time,adverb,Core Content,
Taiwan Mandarin,年紀,niánjì ,niánjì,niǎnjì,niánjí,niānjì,age,我今天學到「年紀」這個詞。,wǒ jīntiān xuédào niánjì zhège cí.,"Today I learned the word ""age.""",B1,people,noun,Core Content,
Taiwan Mandarin,男人,nánrén ,nánrén,nǎnrén,nánrèn,nānrén,man,我今天學到「男人」這個詞。,wǒ jīntiān xuédào nánrén zhège cí.,"Today I learned the word ""man.""",B1,people,noun,Core Content,
Taiwan Mandarin,女人,nǚrén ,nǚrén,nǜrén,nǚrèn,nǘrén,woman,我今天學到「女人」這個詞。,wǒ jīntiān xuédào nǚrén zhège cí.,"Today I learned the word ""woman.""",B1,people,noun,Core Content,
