"language","word","pronunciation","tone practice","tone distractor 1","tone distractor 2","tone distractor 3","meaning","example sentence","sentence pronunciation","sentence meaning","Level","group","tag","pack","notes"
"Taiwan Mandarin","蔥油餅","cōngyóubǐng","congyoubing","cóngyóubǐng","cōngyōubǐng","cōngyóubíng","scallion pancake","夜市的蔥油餅剛煎好，外皮很酥脆。","yèshì de cōngyóubǐng gāng jiān hǎo, wàipí hěn sūcuì.","The night market scallion pancake has just been pan-fried, and the outside is crispy.","Discovery","food","recipe","Fragrant Fields",""
"Taiwan Mandarin","青蔥","qīngcōng","qingcong","qíngcōng","qīngcóng","qǐngcōng","green onion / scallion","做蔥油餅時，青蔥要切細一點，味道才會平均。","zuò cōngyóubǐng shí, qīngcōng yào qiē xì yìdiǎn, wèidào cái huì píngjūn.","When making scallion pancakes, the scallions should be chopped a little finer so the flavor is even.","Discovery","ingredients","produce","Fragrant Fields",""
"Taiwan Mandarin","宜蘭","Yílán","Yilan","Yīlán","Yílān","Yǐlán","Yilan (city in Taiwan)","宜蘭的雨水多，農田裡的作物長得很好。","Yílán de yǔshuǐ duō, nóngtián lǐ de zuòwù zhǎng de hěn hǎo.","Yilan gets a lot of rain, and the crops in the fields grow well.","Discovery","places","region","Fragrant Fields",""
"Taiwan Mandarin","三星","Sānxīng","Sanxing","Sánxīng","Sānxíng","Sǎnxīng","Sanxing (famous green onion area)","很多人去三星買青蔥，因為那裡的蔥很有名。","hěn duō rén qù Sānxīng mǎi qīngcōng, yīnwèi nàlǐ de cōng hěn yǒumíng.","Many people go to Sanxing to buy scallions because the scallions there are famous.","Discovery","places","region","Fragrant Fields",""
"Taiwan Mandarin","特產","tèchǎn","techan","tēchǎn","tèchán","téchǎn","local specialty","這家店把當地特產做成小吃，讓旅客更容易認識地方文化。","zhè jiā diàn bǎ dāngdì tèchǎn zuò chéng xiǎochī, ràng lǚkè gèng róngyì rènshi dìfāng wénhuà.","This shop turns local specialties into snacks, making it easier for visitors to learn about local culture.","Discovery","culture","noun","Fragrant Fields",""
"Taiwan Mandarin","麵粉","miànfěn","mianfen","miānfěn","miànfēn","miánfěn","flour","麵粉加水以後，要慢慢攪拌，才不容易結塊。","miànfěn jiā shuǐ yǐhòu, yào mànmàn jiǎobàn, cái bù róngyì jiékuài.","After adding water to flour, you should stir slowly so it does not clump easily.","Discovery","ingredients","ingredient","Fragrant Fields",""
"Taiwan Mandarin","麵糰","miàntuán","miantuan","miāntuán","miàntuān","miántuán","dough","麵糰休息十分鐘以後，會比較容易桿開。","miàntuán xiūxi shí fēnzhōng yǐhòu, huì bǐjiào róngyì gǎn kāi.","After the dough rests for ten minutes, it is easier to roll out.","Discovery","cooking","ingredient","Fragrant Fields",""
"Taiwan Mandarin","煎","jiān","jian","jián","jiǎn","jiàn","to pan-fry","平底鍋熱了以後，再把蔥油餅放下去煎。","píngdǐguō rè le yǐhòu, zài bǎ cōngyóubǐng fàng xiàqù jiān.","After the pan is hot, put the scallion pancake in to pan-fry it.","Discovery","cooking","verb","Fragrant Fields",""
"Taiwan Mandarin","揉","róu","rou","rōu","rǒu","ròu","to knead","揉麵糰的時候，手上可以先抹一點油。","róu miàntuán de shíhou, shǒu shàng kěyǐ xiān mǒ yìdiǎn yóu.","When kneading dough, you can first rub a little oil on your hands.","Discovery","cooking","verb","Fragrant Fields",""
"Taiwan Mandarin","酥脆","sūcuì","sucui","súcuì","sūcuī","sǔcuì","crispy/flaky","火候控制得好，蔥油餅就會又香又酥脆。","huǒhòu kòngzhì de hǎo, cōngyóubǐng jiù huì yòu xiāng yòu sūcuì.","If the heat is controlled well, the scallion pancake will be fragrant and crispy.","Discovery","description","adjective","Fragrant Fields",""
"Taiwan Mandarin","香","xiāng","xiang","xiáng","xiǎng","xiàng","fragrant","青蔥一下鍋，廚房裡就變得很香。","qīngcōng yí xià guō, chúfáng lǐ jiù biàn de hěn xiāng.","As soon as the scallions go into the pan, the kitchen smells fragrant.","Discovery","description","adjective","Fragrant Fields",""
"Taiwan Mandarin","小吃","xiǎochī","xiaochi","xiāochī","xiǎochí","xiàochī","snack / street food","蔥油餅是台灣常見的小吃，很多夜市都買得到。","cōngyóubǐng shì Táiwān chángjiàn de xiǎochī, hěn duō yèshì dōu mǎi de dào.","Scallion pancakes are a common Taiwanese street food, and you can buy them at many night markets.","Discovery","food","noun","Fragrant Fields",""
