language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,空軍,kōngjūn ,kōngjūn,kóngjūn,kōngjǔn,kòngjūn,air force,空軍派出直升機協助救災，把物資送到交通中斷的山區。,"kōngjūn pàichū zhíshēngjī xiézhù jiùzāi, bǎ wùzī sòng dào jiāotōng zhōngduàn de shānqū.",The air force sent helicopters to help with disaster relief and deliver supplies to mountain areas where transportation was cut off.,B2,public affairs,noun,Core Content,
Taiwan Mandarin,恐怕,kŏngpà ,kǒngpà,kòngpà,kǒngpá,kóngpà,fear; to dread; I'm afraid that...,如果現在才出發，恐怕趕不上最後一班高鐵。,"rúguǒ xiànzài cái chūfā, kǒngpà gǎnbùshàng zuìhòu yì bān gāotiě.","If we leave only now, I am afraid we will not catch the last high-speed train.",B2,function words,function word,Core Content,
Taiwan Mandarin,口味,kŏuwèi  ,kǒuwèi,kòuwèi,kǒuwéi,kóuwèi,a person's preferences; tastes (in food); flavor,這家餐廳會按照客人的口味調整辣度，所以很受外國旅客歡迎。,"zhè jiā cāntīng huì ànzhào kèrén de kǒuwèi tiáozhěng làdù, suǒyǐ hěn shòu wàiguó lǚkè huānyíng.","This restaurant adjusts the spice level according to customers' tastes, so it is popular with foreign travelers.",B2,ideas,noun,Core Content,
Taiwan Mandarin,快,kuài,kuài,kuāi,kuái,kuǎi,rapid; quick; speed,這條路線雖然比較快，但是轉車次數也比較多。,"zhè tiáo lùxiàn suīrán bǐjiào kuài, dànshì zhuǎnchē cìshù yě bǐjiào duō.","Although this route is faster, it also requires more transfers.",B2,description,adjective,Core Content,
Taiwan Mandarin,寬,kuān ,kuān,kuán,kuǎn,kuàn,wide; broad,這張桌子不夠寬，放兩台電腦以後幾乎沒有空間寫字。,"zhè zhāng zhuōzi bùgòu kuān, fàng liǎng tāi diànnǎo yǐhòu jīhū méiyǒu kōngjiān xiězì.","This desk is not wide enough; after placing two computers on it, there is almost no space to write.",B2,description,adjective,Core Content,
Taiwan Mandarin,況且,kuàngqiě ,kuàngqiě,kuāngqiě,kuàngqiē,kuǎngqiě,moreover; besides; in addition,他已經工作十個小時了，況且明天還要早起，最好先休息。,"tā yǐjīng gōngzuò shí gě xiǎoshí le, kuàngqiě míngtiān hái yào zǎoqǐ, zuìhǎo xiān xiūxi.","He has already worked for ten hours, and besides, he has to get up early tomorrow, so he had better rest first.",B2,function words,function word,Core Content,
Taiwan Mandarin,誇張,kuāzhāng ,kuāzhāng,kuázhāng,kuāzhǎng,kuàzhāng,to exaggerate; overstated; exaggerated; hyperbole,他說五分鐘就能完成整份報告，這種說法有點誇張。,"tā shuì wǔ fēnzhōng jiù néng wánchéng zhěng fèn bàogào, zhèzhǒng shuōfǎ yǒudiǎn kuāzhāng.",He said he could finish the whole report in five minutes; that claim is a bit exaggerated.,B2,actions,verb,Core Content,
Taiwan Mandarin,擴大,kuòdà ,kuòdà,kuōdà,kuòdá,kuǒdà,to expand; to enlarge; to broaden one's scope,公司希望明年擴大海外市場，所以正在招聘會說外語的人才。,"gōngsī xīwàng míngnián kuòdà hǎiwài shìchǎng, suǒyǐ zhèngzài zhāopìnhuì shuì wàiyǔ de réncái.","The company hopes to expand overseas markets next year, so it is hiring people who can speak foreign languages.",B2,actions,verb,Core Content,
Taiwan Mandarin,拉肚子,lādùzi ,lādùzi,ládùzi,lādúzi,làdùzi,(coll.) to have diarrhea,他昨晚吃了不新鮮的海鮮，半夜開始拉肚子。,"tā zuówǎn chī le bù xīnxiān de hǎixiān, bànyè kāishǐ lādùzi.",He ate seafood that was not fresh last night and started having diarrhea in the middle of the night.,B2,actions,verb,Core Content,
Taiwan Mandarin,來,lái ,lái,lǎi,lài,lāi,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])",為了讓計畫順利進行，團隊需要先來目前最大的問題。,"wèile ràng jìhuà shùnlì jìnxíng, tuánduì xūyào xiān lái mùqián zuì dà de wèntí.","To help the plan proceed smoothly, the team needs to first come the biggest current problem.",B2,actions,verb,Core Content,
Taiwan Mandarin,來不及,láibùjí ,láibùjí,lǎibùjí,láibújí,láibùjī,there's not enough time (to do sth); it's too late,再不出門就來不及了，電影十分鐘後就要開始。,"zàibù chūmén jiù láibují le, diànyǐng shífēn zhōng hòu jiùyào kāishǐ.","If we do not leave now, we will be too late; the movie starts in ten minutes.",B2,function words,function word,Core Content,
Taiwan Mandarin,來得及,láidejí  ,láidejí,lǎidejí,láidejì,lāidejí,to have enough time; can do it in time; can still make it,只要現在把資料寄出去，應該還來得及報名。,"zhǐyào xiànzài bǎ zīliào jìchū qù, yīnggāi hái láidejí bàomíng.","As long as we send the information now, we should still be in time to register.",B2,function words,function word,Core Content,
Taiwan Mandarin,藍,lán ,lán,lǎn,làn,lān,blue; indigo plant,雨後的天空特別藍，整個城市看起來也明亮多了。,"yǔ hòu de tiānkōng tèbié lán, zhěnggè chéngshì kànqǐlai yě míngliàng duō le.","After the rain, the sky is especially blue, and the whole city looks much brighter.",B2,general,noun,Core Content,
Taiwan Mandarin,浪漫,làngmàn ,làngmàn,lāngmàn,làngmán,lǎngmàn,romantic,這座城市有浪漫的一面，值得旅客慢慢走、慢慢看。,"zhè zuò chéngshì yǒu làngmàn de yīmiàn, zhíde lǚkè mànmàn zǒu、 mànmàn kàn.",This city has a romantic side that is worth travelers exploring slowly.,B2,description,adjective,Core Content,
Taiwan Mandarin,老公,lăogōng ,lǎogōng,làogōng,lǎogǒng,láogōng,(coll.) husband,每次家庭聚會，老公都會準備一道大家最期待的拿手菜。,"měicì jiātíng jùhuì, lǎogōng dūhuì zhǔnbèi yīdào dàjiā zuì qīdài de náshǒucài.","At every family gathering, the husband prepares a specialty dish everyone looks forward to.",B2,family,noun,Core Content,
