language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,乖,guāi,guāi,guái,guǎi,guài,well-behaved; obedient,這個孩子很乖，會自己做功課。,"zhège háizi hěn guāi, huì zìjǐ zuò gōngkè.",This child is well-behaved and does homework on their own.,B2,character,adjective,Core Content,
Taiwan Mandarin,怪,guài ,guài,guāi,guái,guǎi,strange; to blame,他的反應有點怪。,tā de fǎnyìng yǒudiǎn guài.,His reaction is a little strange.,B2,description,adjective,Core Content,
Taiwan Mandarin,關,guān ,guān,guán,guǎn,guàn,to close; to shut,離開以前，請把電燈關掉。,"líkāi yǐqián, qǐng bǎ diàndēng guān diào.","Before leaving, please turn off the light.",B2,actions,verb,Core Content,
Taiwan Mandarin,觀察,guānchá ,guānchá,guánchá,guānchà,guànchá,to observe,老師請學生觀察植物的變化。,lǎoshī qǐng xuéshēng guānchá zhíwù de biànhuà.,The teacher asked students to observe the plant's changes.,B2,research,verb,Core Content,
Taiwan Mandarin,觀點,guāndiăn ,guāndiǎn,guándiǎn,guāndiān,guàndiǎn,viewpoint; perspective,我尊重你的觀點。,wǒ zūnzhòng nǐ de guāndiǎn.,I respect your viewpoint.,B2,ideas,noun,Core Content,
Taiwan Mandarin,管,guăn ,guǎn,guàn,guān,guán,to manage; tube; to care about,這件事由誰來管？,zhè jiàn shì yóu shéi lái guǎn?,Who will be in charge of this matter?,B2,work,verb,Core Content,
Taiwan Mandarin,廣播,guăngbò ,guǎngbò,guàngbò,guǎngbó,guángbò,broadcast; radio,我每天早上聽廣播新聞。,wǒ měitiān zǎoshang tīng guǎngbò xīnwén.,I listen to radio news every morning.,B2,media,noun,Core Content,
Taiwan Mandarin,廣場,guăngchăng ,guǎngchǎng,guàngchǎng,guǎngchāng,guángchǎng,public square,晚上很多人在廣場跳舞。,wǎnshàng hěn duō rén zài guǎngchǎng tiàowǔ.,Many people dance in the square at night.,B2,place,noun,Core Content,
Taiwan Mandarin,廣告,guănggào ,guǎnggào,guànggào,guǎnggáo,guánggào,advertisement,這個廣告讓我想買那個產品。,zhège guǎnggào ràng wǒ xiǎng mǎi nàge chǎnpǐn.,This advertisement makes me want to buy that product.,B2,media,noun,Core Content,
Taiwan Mandarin,觀念,guānniàn ,guānniàn,guánniàn,guānnián,guànniàn,concept; idea,年輕人的消費觀念正在改變。,niánqīngrén de xiāofèi guānniàn zhèngzài gǎibiàn.,Young people's ideas about spending are changing.,B2,ideas,noun,Core Content,
Taiwan Mandarin,觀眾,guānzhòng ,guānzhòng,guánzhòng,guānzhóng,guànzhòng,audience,觀眾對表演反應很好。,guānzhòng duì biǎoyǎn fǎnyìng hěn hǎo.,The audience responded well to the performance.,B2,arts,noun,Core Content,
Taiwan Mandarin,規矩,guījŭ ,guījǔ,guíjǔ,guījū,guìjǔ,rule; well-behaved,每個地方都有自己的規矩。,měi ge dìfang dōu yǒu zìjǐ de guījǔ.,Every place has its own rules.,B2,society,noun,Core Content,
Taiwan Mandarin,規模,guīmó ,guīmó,guímó,guīmò,guìmó,scale; size,這家公司規模不大。,zhè jiā gōngsī guīmó bú dà.,This company is not large in scale.,B2,business,noun,Core Content,
Taiwan Mandarin,鬼,guĭ,guǐ,guì,guī,guí,ghost,他不相信世界上有鬼。,tā bù xiāngxìn shìjiè shàng yǒu guǐ.,He does not believe there are ghosts in the world.,B2,culture,noun,Core Content,
Taiwan Mandarin,貴姓,guìxìng,guìxìng,guīxìng,guìxíng,guǐxìng,your honorable surname,請問您貴姓？,qǐngwèn nín guìxìng?,May I ask your surname?,B2,communication,phrase,Core Content,
Taiwan Mandarin,國內,guónèi ,guónèi,guǒnèi,guónéi,guōnèi,domestic; within the country,國內旅遊今年很受歡迎。,guónèi lǚyóu jīnnián hěn shòu huānyíng.,Domestic travel is popular this year.,B2,place,adjective,Core Content,
Taiwan Mandarin,國外,guówài ,guówài,guǒwài,guówái,guōwài,abroad; overseas,他想去國外念書。,tā xiǎng qù guówài niànshū.,He wants to study abroad.,B2,place,noun,Core Content,
Taiwan Mandarin,國王,guówáng ,guówáng,guǒwáng,guówàng,guōwáng,king,故事裡的國王很善良。,gùshi lǐ de guówáng hěn shànliáng.,The king in the story is very kind.,B2,people,noun,Core Content,
Taiwan Mandarin,國語,guóyŭ ,guóyǔ,guǒyǔ,guóyū,guōyǔ,Mandarin; national language,在台灣，很多人會說國語。,"zài Táiwān, hěn duō rén huì shuō Guóyǔ.","In Taiwan, many people can speak Mandarin.",B2,language,noun,Core Content,
Taiwan Mandarin,過去,guòqù,guòqù,guōqù,guòqú,guǒqù,past; to pass,過去的經驗影響了我的選擇。,guòqù de jīngyàn yǐngxiǎng le wǒ de xuǎnzé.,Past experiences influenced my choices.,B2,time,noun,Core Content,
Taiwan Mandarin,過日子,guòrìzi ,guòrìzi,guōrìzi,guòrízi,guǒrìzi,to live one's life,他們在鄉下安靜地過日子。,tāmen zài xiāngxià ānjìng de guòrìzi.,They live quietly in the countryside.,B2,life,verb phrase,Core Content,
Taiwan Mandarin,嗨,hāi ,hāi,hái,hǎi,hài,hi,嗨，好久不見！,"hāi, hǎojiǔ bú jiàn!","Hi, long time no see!",B2,communication,interjection,Core Content,
Taiwan Mandarin,還是,háishì ,háishì,hǎishì,háishí,hāishì,still; or; had better,外面下雨，我們還是坐捷運吧。,"wàimiàn xià yǔ, wǒmen háishì zuò jiéyùn ba.",It is raining outside; we had better take the MRT.,B2,function,adverb,Core Content,
Taiwan Mandarin,還要,háiyào  ,háiyào,hǎiyào,háiyáo,hāiyào,still need; also want,我還要再想一想。,wǒ hái yào zài xiǎng yì xiǎng.,I still need to think about it some more.,B2,function,phrase,Core Content,
Taiwan Mandarin,海報,hăibào  ,hǎibào,hàibào,hǎibáo,háibào,poster,牆上貼著演唱會的海報。,qiáng shàng tiēzhe yǎnchànghuì de hǎibào.,A concert poster is posted on the wall.,B2,media,noun,Core Content,
Taiwan Mandarin,海灘,hăitān  ,hǎitān,hàitān,hǎitǎn,háitān,beach,夏天很多人去海灘玩。,xiàtiān hěn duō rén qù hǎitān wán.,Many people go to the beach in summer.,B2,place,noun,Core Content,
Taiwan Mandarin,海洋,hăiyáng ,hǎiyáng,hàiyáng,hǎiyàng,háiyáng,ocean,海洋裡有各式各樣的生物。,hǎiyáng lǐ yǒu gèshìgèyàng de shēngwù.,There are all kinds of living things in the ocean.,B2,nature,noun,Core Content,
Taiwan Mandarin,害,hài ,hài,hāi,hái,hǎi,to harm; to cause,抽菸會害健康。,chōuyān huì hài jiànkāng.,Smoking harms health.,B2,health,verb,Core Content,
Taiwan Mandarin,航空,hángkōng ,hángkōng,hǎngkōng,hángkǒng,hāngkōng,aviation,航空公司通知班機延後。,hángkōng gōngsī tōngzhī bānjī yánhòu.,The airline announced that the flight was delayed.,B2,travel,noun,Core Content,
